用例ID,用例名称,执行步骤,预期结果,转人工预期,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,来源分类,执行结果,缺陷记录,是否使用新会话,实际回复内容（英文）,知识库是否命中,回复是否准确,意图标签是否准确,实际识别的意图标签,转人工时机是否准确,备注
TC-H70-022-N,[活动规则] 如果只线上填了信息，算预订成功吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“如果只线上填了信息，算预订成功吗？”。步骤3：核对机器人识别的业务场景是否为“活动规则”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"在线提交信息只是完成预订意向登记，

您需要在预订期内前往所选 Infinix 门店线下支付 BDT 5,000 订金后，才算完成预订确认。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,如果只线上填了信息，算预订成功吗？,Does filling in the online form mean my pre-order is confirmed?,,,,,,,,,,,
TC-H70-022-H-C01,[活动规则] 如果只线上填了信息，算预订成功吗？【条件式转人工场景：用户已提交但门店查不到记录】,步骤1：先执行关联标准用例“TC-H70-022-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我线上已经提交了，门店却查不到我的预订。”。步骤3：核对机器人能结合前序问题识别当前触发条件“用户已提交但门店查不到记录”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“用户已提交但门店查不到记录”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,用户已提交但门店查不到记录,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-022-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我线上已经提交了，门店却查不到我的预订。,"I submitted the form online, but the store can't find my pre-order.",,,,,,,,,,,
TC-H70-022-H-C02,[活动规则] 如果只线上填了信息，算预订成功吗？【条件式转人工场景：没收到确认信息】,步骤1：先执行关联标准用例“TC-H70-022-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我提交完以后一直没收到短信。”。步骤3：核对机器人能结合前序问题识别当前触发条件“没收到确认信息”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“没收到确认信息”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,没收到确认信息,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-022-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我提交完以后一直没收到短信。,I haven't received any SMS after submitting the form.,,,,,,,,,,,
TC-H70-022-H-C03,[活动规则] 如果只线上填了信息，算预订成功吗？【条件式转人工场景：是否能保留名额】,步骤1：先执行关联标准用例“TC-H70-022-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我这两天去不了门店，名额还能留着吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“是否能保留名额”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“是否能保留名额”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,是否能保留名额,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-022-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我这两天去不了门店，名额还能留着吗？,I can't get to the store in the next two days. Can my slot be kept?,,,,,,,,,,,
TC-H70-023-N,[活动规则] 订金线上能不能付？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“订金线上能不能付？”。步骤3：核对机器人识别的业务场景是否为“活动规则”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"不能。线上预订是免费的，不需要在线支付。

BDT 5,000 订金需要在您选择的 Infinix 线下门店支付，用于确认预订。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,订金线上能不能付？,Can I pay the deposit online?,,,,,,,,,,,
TC-H70-023-H-C01,[活动规则] 订金线上能不能付？【条件式转人工场景：用户询问门店支持哪些付款方式】,步骤1：先执行关联标准用例“TC-H70-023-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“店里到底能用现金还是 bKash？”。步骤3：核对机器人能结合前序问题识别当前触发条件“用户询问门店支持哪些付款方式”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“用户询问门店支持哪些付款方式”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,用户询问门店支持哪些付款方式,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-023-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,店里到底能用现金还是 bKash？,Can I pay by cash or bKash at the store?,,,,,,,,,,,
TC-H70-023-H-C02,[活动规则] 订金线上能不能付？【条件式转人工场景：支付失败】,步骤1：先执行关联标准用例“TC-H70-023-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我试了几次都付不了，页面一直报错。”。步骤3：核对机器人能结合前序问题识别当前触发条件“支付失败”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“支付失败”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,支付失败,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-023-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我试了几次都付不了，页面一直报错。,"I've tried several times, but the payment keeps failing with an error.",,,,,,,,,,,
TC-H70-023-H-C03,[活动规则] 订金线上能不能付？【条件式转人工场景：要求线上转账】,步骤1：先执行关联标准用例“TC-H70-023-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我不方便去门店，可以直接转账付订金吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“要求线上转账”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“要求线上转账”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,要求线上转账,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-023-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我不方便去门店，可以直接转账付订金吗？,I can't get to the store. Can I transfer the deposit instead?,,,,,,,,,,,
TC-H70-024-N,[活动规则] 可以预订几台？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“可以预订几台？”。步骤3：核对机器人识别的业务场景是否为“活动规则”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"根据活动规则，每个订单通常限预订 1 台。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,可以预订几台？,How many phones can I pre-order?,,,,,,,,,,,
TC-H70-024-H-C01,[活动规则] 可以预订几台？【条件式转人工场景：多台购买】,步骤1：先执行关联标准用例“TC-H70-024-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我想一次订两台，可以吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“多台购买”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“多台购买”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,多台购买,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-024-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我想一次订两台，可以吗？,Can I pre-order two phones at once?,,,,,,,,,,,
TC-H70-024-H-C02,[活动规则] 可以预订几台？【条件式转人工场景：团购】,步骤1：先执行关联标准用例“TC-H70-024-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我们公司想一起买十台，有团购吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“团购”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“团购”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,团购,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-024-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我们公司想一起买十台，有团购吗？,Our company wants to buy ten phones. Is there a group purchase option?,,,,,,,,,,,
TC-H70-024-H-C03,[活动规则] 可以预订几台？【条件式转人工场景：批量采购】,步骤1：先执行关联标准用例“TC-H70-024-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我要批量买一批，数量有限制吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“批量采购”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“批量采购”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,批量采购,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-024-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我要批量买一批，数量有限制吗？,I need to buy in bulk. Is there a quantity limit?,,,,,,,,,,,
TC-H70-024-H-C04,[活动规则] 可以预订几台？【条件式转人工场景：门店特殊处理】,步骤1：先执行关联标准用例“TC-H70-024-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“店员说这种订单他们要另外处理，那我现在怎么办？”。步骤3：核对机器人能结合前序问题识别当前触发条件“门店特殊处理”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“门店特殊处理”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,门店特殊处理,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-024-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,店员说这种订单他们要另外处理，那我现在怎么办？,The store says this order needs special handling. What happens now?,,,,,,,,,,,
TC-H70-025-N,[HOT 70 Pro 商品信息] 选了某个颜色，门店能保证有吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“选了某个颜色，门店能保证有吗？”。步骤3：核对机器人识别的业务场景是否为“HOT 70 Pro 商品信息”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"颜色是否可选取决于您所选门店的实际库存。

您在线上选择的颜色会作为偏好记录，但最终是否可提供，需要以提机或交付时门店库存为准。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,选了某个颜色，门店能保证有吗？,"If I choose a color, can the store guarantee it will be available?",,,,,,,,,,,
TC-H70-025-H-C01,[HOT 70 Pro 商品信息] 选了某个颜色，门店能保证有吗？【条件式转人工场景：用户强烈要求某一颜色】,步骤1：先执行关联标准用例“TC-H70-025-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我只要橙色，别的颜色我不要。”。步骤3：核对机器人能结合前序问题识别当前触发条件“用户强烈要求某一颜色”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“用户强烈要求某一颜色”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,用户强烈要求某一颜色,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-025-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我只要橙色，别的颜色我不要。,I only want the orange one. I don't want any other color.,,,,,,,,,,,
TC-H70-025-H-C02,[HOT 70 Pro 商品信息] 选了某个颜色，门店能保证有吗？【条件式转人工场景：查询具体门店颜色库存】,步骤1：先执行关联标准用例“TC-H70-025-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“Dhanmondi 那家店还有绿色的吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“查询具体门店颜色库存”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“查询具体门店颜色库存”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,查询具体门店颜色库存,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-025-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,Dhanmondi 那家店还有绿色的吗？,Does the Dhanmondi store still have the green one?,,,,,,,,,,,
TC-H70-025-H-C03,[HOT 70 Pro 商品信息] 选了某个颜色，门店能保证有吗？【条件式转人工场景：投诉颜色不一致】,步骤1：先执行关联标准用例“TC-H70-025-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我订的是绿色，拿到的却是蓝色。”。步骤3：核对机器人能结合前序问题识别当前触发条件“投诉颜色不一致”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“投诉颜色不一致”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,投诉颜色不一致,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-025-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我订的是绿色，拿到的却是蓝色。,"I ordered green, but they gave me a blue one.",,,,,,,,,,,
TC-H70-026-N,[活动权益] 到店具体是什么礼品【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“到店具体是什么礼品”。步骤3：核对机器人识别的业务场景是否为“活动权益”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"本次预订活动赠品为 Smart Watch，具体以库存和活动规则为准。

赠品图片仅供参考，实际颜色、型号或设计可能会有所不同。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,到店具体是什么礼品,What exactly is the in-store gift?,,,,,,,,,,,
TC-H70-026-H-C01,[活动权益] 到店具体是什么礼品【条件式转人工场景：用户问赠品型号】,步骤1：先执行关联标准用例“TC-H70-026-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“送的手表具体是什么型号？”。步骤3：核对机器人能结合前序问题识别当前触发条件“用户问赠品型号”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“用户问赠品型号”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,用户问赠品型号,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-026-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,送的手表具体是什么型号？,What model is the free Smart Watch?,,,,,,,,,,,
TC-H70-026-H-C02,[活动权益] 到店具体是什么礼品【条件式转人工场景：颜色】,步骤1：先执行关联标准用例“TC-H70-026-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“送的手表能选颜色吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“颜色”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“颜色”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,颜色,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-026-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,送的手表能选颜色吗？,Can I choose the color of the free Smart Watch?,,,,,,,,,,,
TC-H70-026-H-C03,[活动权益] 到店具体是什么礼品【条件式转人工场景：库存】,步骤1：先执行关联标准用例“TC-H70-026-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“手表赠品现在还有吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“库存”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“库存”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,库存,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-026-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,手表赠品现在还有吗？,Is the Smart Watch gift still available?,,,,,,,,,,,
TC-H70-026-H-C04,[活动权益] 到店具体是什么礼品【条件式转人工场景：是否一定有】,步骤1：先执行关联标准用例“TC-H70-026-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我已经预订了，是不是肯定能拿到手表？”。步骤3：核对机器人能结合前序问题识别当前触发条件“是否一定有”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“是否一定有”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,是否一定有,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-026-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我已经预订了，是不是肯定能拿到手表？,I've already pre-ordered. Am I guaranteed to get the Smart Watch?,,,,,,,,,,,
TC-H70-026-H-C05,[活动权益] 到店具体是什么礼品【条件式转人工场景：是否可换】,步骤1：先执行关联标准用例“TC-H70-026-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我不想要手表，能换成别的东西吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“是否可换”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“是否可换”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,是否可换,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-026-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我不想要手表，能换成别的东西吗？,I don't want the Smart Watch. Can I exchange it for something else?,,,,,,,,,,,
TC-H70-027-N,[活动权益] Smart Watch 怎么领取？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“Smart Watch 怎么领取？”。步骤3：核对机器人识别的业务场景是否为“活动权益”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Smart Watch 赠品将在您完成购机，并在新手机上成功激活后发放。
赠品是否可领取以库存和活动规则为准。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,Smart Watch 怎么领取？,How do I collect the Smart Watch gift?,,,,,,,,,,,
TC-H70-027-H-C01,[活动权益] Smart Watch 怎么领取？【条件式转人工场景：用户问激活多久生效】,步骤1：先执行关联标准用例“TC-H70-027-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“手机激活后要等多久才能拿到手表？”。步骤3：核对机器人能结合前序问题识别当前触发条件“用户问激活多久生效”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“用户问激活多久生效”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,用户问激活多久生效,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-027-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,手机激活后要等多久才能拿到手表？,How long after activating the phone will I receive the Smart Watch?,,,,,,,,,,,
TC-H70-027-H-C02,[活动权益] Smart Watch 怎么领取？【条件式转人工场景：赠品未收到】,步骤1：先执行关联标准用例“TC-H70-027-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“手机已经激活了，但手表一直没拿到。”。步骤3：核对机器人能结合前序问题识别当前触发条件“赠品未收到”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“赠品未收到”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,赠品未收到,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-027-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,手机已经激活了，但手表一直没拿到。,"The phone is activated, but I still haven't received the Smart Watch.",,,,,,,,,,,
TC-H70-027-H-C03,[活动权益] Smart Watch 怎么领取？【条件式转人工场景：门店不给赠品】,步骤1：先执行关联标准用例“TC-H70-027-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“门店说这单没有手表赠品。”。步骤3：核对机器人能结合前序问题识别当前触发条件“门店不给赠品”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“门店不给赠品”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,门店不给赠品,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-027-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,门店说这单没有手表赠品。,The store says my order doesn't include the Smart Watch gift.,,,,,,,,,,,
TC-H70-027-H-C04,[活动权益] Smart Watch 怎么领取？【条件式转人工场景：SIM 激活异常】,步骤1：先执行关联标准用例“TC-H70-027-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“新手机的 SIM 一直激活不了。”。步骤3：核对机器人能结合前序问题识别当前触发条件“SIM 激活异常”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“SIM 激活异常”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,SIM 激活异常,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-027-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,新手机的 SIM 一直激活不了。,The SIM on my new phone won't activate.,,,,,,,,,,,
TC-H70-028-N,[活动权益] 为什么要激活才能拿赠品？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“为什么要激活才能拿赠品？”。步骤3：核对机器人识别的业务场景是否为“活动权益”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"需要激活，是为了确认该设备已由终端用户购买并实际使用。

赠品仅会在购买的设备成功完成 激活后发放。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,为什么要激活才能拿赠品？,Why do I have to activate the phone before receiving the gift?,,,,,,,,,,,
TC-H70-028-H-C01,[活动权益] 为什么要激活才能拿赠品？【条件式转人工场景：用户对激活规则有异议】,步骤1：先执行关联标准用例“TC-H70-028-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“为什么一定要激活才能拿赠品？我已经付完钱了。”。步骤3：核对机器人能结合前序问题识别当前触发条件“用户对激活规则有异议”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“用户对激活规则有异议”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,用户对激活规则有异议,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-028-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,为什么一定要激活才能拿赠品？我已经付完钱了。,Why do I have to activate it to get the gift? I've already paid in full.,,,,,,,,,,,
