用例ID,用例名称,执行步骤,预期结果,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,执行阶段,是否使用新会话,实际回复内容（英文）,是否存在知识库,知识库是否命中（日志）,知识库命中（人工复核）,日志客户标签,LLM推测预期标签,LLM判定客户标签是否准确,客户标签准确（人工复核）,转人工预期,日志转人工,转人工是否准确,转人工准确（人工复核）,语义是否合理（LLM）,回复是否准确（LLM）,回复准确（人工复核）,服务端真实耗时,接口响应时长,备注
TC-H70-015-N,[人工兜底规则] 我所在的城市有门店吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：观察是否按规则触发人工转接。步骤5：确认未输出超出知识库的确定性结论。,该问题按知识库规则应直接触发转人工；转接前话术应与当前问题相关，不应输出超范围确定性结论。,该问题按规则直接转人工,验证直接转人工策略、转接话术相关性及知识边界控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我所在的城市有门店吗？,আমার শহরে কি কোনো স্টোর আছে?,P2,是,,是,,,,,,,是,,,,,,,,,
TC-H70-016-N,[HOT 70 Pro 商品信息] HOT 70 Pro是正品吗？有保修吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Absolutely! HOT 70 Pro 5G is a 100% genuine Infinix product with:
✅ Full manufacturer warranty
✅ Official after-sales service at Infinix service centers
✅ 3 years OS updates + 5 years security updates

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT 70 Pro是正品吗？有保修吗？,HOT 70 Pro কি আসল? এর সাথে কি ওয়ারেন্টি আসে?,P2,是,,是,,,,,,,否,,,,,,,,,
TC-H70-017-N,[投诉/退货退款] 我要投诉/反馈问题【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：观察是否按规则触发人工转接。步骤5：确认未输出超出知识库的确定性结论。,该问题按知识库规则应直接触发转人工；转接前话术应与当前问题相关，不应输出超范围确定性结论。,该问题按规则直接转人工,验证直接转人工策略、转接话术相关性及知识边界控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我要投诉/反馈问题,আমি একটি সমস্যা সম্পর্কে অভিযোগ/মতামত জানাতে চাই,P2,是,,是,,,,,,,是,,,,,,,,,
TC-H70-018-N,[人工兜底规则] 到店后无法提机【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：观察是否按规则触发人工转接。步骤5：确认未输出超出知识库的确定性结论。,该问题按知识库规则应直接触发转人工；转接前话术应与当前问题相关，不应输出超范围确定性结论。,该问题按规则直接转人工,验证直接转人工策略、转接话术相关性及知识边界控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,到店后无法提机,দোকানে পৌঁছানোর পর ডিভাইসটি নিতে পারছি না,P2,是,,是,,,,,,,是,,,,,,,,,
TC-H70-019-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G 128GB+8GB is priced at BDT 36,999.

Online pre-booking is free. After submitting your information online, please visit your selected Infinix store to pay the BDT 5,000 offline deposit and confirm your pre-order.

Users who purchase through the pre-order campaign, successfully pick up the phone, and pay the final balance with Palmpay can get an instant BDT 2,000 discount.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 5G多少钱？,HOT70 Pro 5G এর দাম কত?,P2,是,,是,,,,,,,否,,,,,,,,,
TC-H70-019-H-C01,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：Transfer to human when store quotations are inconsistent】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to human when store quotations are inconsistent”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to human when store quotations are inconsistent”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to human when store quotations are inconsistent,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to human when store quotations are inconsistent,দোকানের কোটেশনে অসঙ্গতি থাকলে কি আপনি আমাকে মানুষের কাছে স্থানান্তরে সাহায্য করতে পারেন?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-019-H-C02,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：special prices】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“special prices”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“special prices”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,special prices,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：special prices,বিশেষ দাম সম্পর্কে কি আপনি আমাকে সাহায্য করতে পারেন?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-019-H-C03,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：overlapping discounts】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“overlapping discounts”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“overlapping discounts”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,overlapping discounts,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：overlapping discounts,ওভারল্যাপিং ডিসকাউন্ট সম্পর্কে কি আপনি আমাকে সাহায্য করতে পারেন?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-019-H-C04,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：price disputes occur】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“price disputes occur”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“price disputes occur”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,price disputes occur,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：price disputes occur,দামের বিরোধ দেখা দিলে কি আপনি আমাকে সাহায্য করতে পারেন?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-020-N,[预订规则] 订金在哪里付【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"The BDT 5,000 deposit should be paid offline at your selected Infinix store.

Please bring your booking information or confirmation code when you visit the store.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,订金在哪里付,ডিপোজিট কোথায় পরিশোধ করতে হবে?,P2,是,,是,,,,,,,否,,,,,,,,,
TC-H70-020-H-C01,[预订规则] 订金在哪里付【条件式转人工场景：Transfer to a human agent if the user asks about receipts】,步骤1：先执行关联标准用例“TC-H70-020-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to a human agent if the user asks about receipts”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to a human agent if the user asks about receipts”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to a human agent if the user asks about receipts,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-020-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to a human agent if the user asks about receipts,রসিদ সম্পর্কে ব্যবহারকারী জিজ্ঞাসা করলে কি আপনি আমাকে মানব এজেন্টের কাছে স্থানান্তরে সাহায্য করতে পারেন?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-020-H-C02,[预订规则] 订金在哪里付【条件式转人工场景：invoices】,步骤1：先执行关联标准用例“TC-H70-020-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“invoices”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“invoices”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,invoices,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-020-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：invoices,চালান সম্পর্কে কি আপনি আমাকে সাহায্য করতে পারেন?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-020-H-C03,[预订规则] 订金在哪里付【条件式转人工场景：if the store cannot collect the payment】,步骤1：先执行关联标准用例“TC-H70-020-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“if the store cannot collect the payment”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“if the store cannot collect the payment”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,if the store cannot collect the payment,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-020-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：if the store cannot collect the payment,"দোকান যদি পেমেন্ট সংগ্রহ করতে না পারে, তাহলে কি আপনি আমাকে সাহায্য করতে পারেন?",P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-021-N,[提机规则] 提机时还要付多少钱？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"The total price is BDT 36,999. If you have paid the BDT 5,000 deposit, the remaining balance is BDT 31,999. Eligible users who pay the final balance with Palmpay can get an instant BDT 2,000 discount, so the final payable balance can be BDT 29,999.

Final payment should be confirmed with the selected store.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,提机时还要付多少钱？,ফোনটি নিতে গেলে আমাকে আর কত টাকা দিতে হবে?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-021-H-C01,[提机规则] 提机时还要付多少钱？【条件式转人工场景：Transfer to human when user has already received other discounts】,步骤1：先执行关联标准用例“TC-H70-021-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to human when user has already received other discounts”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to human when user has already received other discounts”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to human when user has already received other discounts,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-021-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to human when user has already received other discounts,ব্যবহারকারী ইতিমধ্যে অন্যান্য ডিসকাউন্ট পেয়ে থাকলে কি আপনি আমাকে মানুষের কাছে স্থানান্তরে সাহায্য করতে পারেন?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-021-H-C02,[提机规则] 提机时还要付多少钱？【条件式转人工场景：store amount is inconsistent】,步骤1：先执行关联标准用例“TC-H70-021-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“store amount is inconsistent”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“store amount is inconsistent”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,store amount is inconsistent,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-021-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：store amount is inconsistent,দোকানের পরিমাণে অসঙ্গতি থাকলে কি আপনি আমাকে সাহায্য করতে পারেন?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-021-H-C03,[提机规则] 提机时还要付多少钱？【条件式转人工场景：there is a payment dispute】,步骤1：先执行关联标准用例“TC-H70-021-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“there is a payment dispute”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“there is a payment dispute”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,there is a payment dispute,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-021-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：there is a payment dispute,"যদি পেমেন্ট নিয়ে বিরোধ থাকে, তাহলে কি আপনি আমাকে সাহায্য করতে পারেন?",P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-022-N,[预订规则] 如果只线上填了信息，算预订成功吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Submitting your information online helps reserve your interest.

Your pre-order is confirmed after you visit the selected Infinix store and pay the BDT 5,000 offline deposit during the pre-order period.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,如果只线上填了信息，算预订成功吗？,"আমি যদি শুধু অনলাইনে তথ্য পূরণ করি, তাহলে কি রিজার্ভেশনটি সফল বলে গণ্য হবে?",,是,,是,,,,,,,否,,,,,,,,,
TC-H70-022-H-C01,[预订规则] 如果只线上填了信息，算预订成功吗？【条件式转人工场景：Transfer to human when user has submitted but the store cannot find the record】,步骤1：先执行关联标准用例“TC-H70-022-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to human when user has submitted but the store cannot find the record”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to human when user has submitted but the store cannot find the record”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to human when user has submitted but the store cannot find the record,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-022-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to human when user has submitted but the store cannot find the record,"ব্যবহারকারী জমা দেওয়ার পরেও দোকান যদি রেকর্ড খুঁজে না পায়, তাহলে কি আপনি আমাকে মানুষের কাছে স্থানান্তরে সাহায্য করতে পারেন?",P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-022-H-C02,[预订规则] 如果只线上填了信息，算预订成功吗？【条件式转人工场景：no confirmation message received】,步骤1：先执行关联标准用例“TC-H70-022-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“no confirmation message received”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“no confirmation message received”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,no confirmation message received,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-022-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：no confirmation message received,কোনও নিশ্চিতকরণ বার্তা না পেলে কি আপনি আমাকে সাহায্য করতে পারেন?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-022-H-C03,[预订规则] 如果只线上填了信息，算预订成功吗？【条件式转人工场景：asking whether the slot can be reserved】,步骤1：先执行关联标准用例“TC-H70-022-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“asking whether the slot can be reserved”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“asking whether the slot can be reserved”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,asking whether the slot can be reserved,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-022-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：asking whether the slot can be reserved,"স্লটটি সংরক্ষণ করা যাবে কি না, তা জানতে চাইলে কি আপনি আমাকে সাহায্য করতে পারেন?",P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-023-N,[预订规则] 线上预订后，多久内要去门店付订金？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Please visit your selected Infinix store during the pre-order period, August 1–11, 2026, to pay the BDT 5,000 offline deposit and confirm your pre-order.

If you do not complete the offline deposit confirmation during the pre-order period, your pre-order may not be secured.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,线上预订后，多久内要去门店付订金？,অনলাইন রিজার্ভেশন করার পর ডিপোজিট দিতে দোকানে যেতে আমার কত সময় আছে?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-023-H-C01,[预订规则] 线上预订后，多久内要去门店付订金？【条件式转人工场景：Transfer to human when user asks whether it can be extended】,步骤1：先执行关联标准用例“TC-H70-023-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to human when user asks whether it can be extended”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to human when user asks whether it can be extended”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to human when user asks whether it can be extended,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-023-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to human when user asks whether it can be extended,"ব্যবহারকারী যখন জিজ্ঞেস করে এটি কি বাড়ানো যেতে পারে, তখন কি আপনি আমাকে মানব এজেন্টের কাছে স্থানান্তরে সাহায্য করতে পারেন?",P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-023-H-C02,[预订规则] 线上预订后，多久内要去门店付订金？【条件式转人工场景：whether the store can reserve a slot】,步骤1：先执行关联标准用例“TC-H70-023-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“whether the store can reserve a slot”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“whether the store can reserve a slot”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,whether the store can reserve a slot,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-023-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：whether the store can reserve a slot,"দোকান কি একটি স্লট সংরক্ষণ করতে পারে কিনা, সে বিষয়ে কি আপনি আমাকে সাহায্য করতে পারেন?",P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-023-H-C03,[预订规则] 线上预订后，多久内要去门店付订金？【条件式转人工场景：the booking period has passed】,步骤1：先执行关联标准用例“TC-H70-023-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“the booking period has passed”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“the booking period has passed”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,the booking period has passed,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-023-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：the booking period has passed,"বুকিং সময়সীমা পেরিয়ে গেছে, সে বিষয়ে কি আপনি আমাকে সাহায্য করতে পারেন?",P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-024-N,[预订规则] 订金线上能不能付？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"No. Online pre-booking is free and does not require online payment.

The BDT 5,000 deposit should be paid offline at your selected Infinix store to confirm the pre-order.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,订金线上能不能付？,ডিপোজিট কি অনলাইনে পরিশোধ করা যায়?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-024-H-C01,[预订规则] 订金线上能不能付？【条件式转人工场景：Transfer to a human agent if the payment fails】,步骤1：先执行关联标准用例“TC-H70-024-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to a human agent if the payment fails”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to a human agent if the payment fails”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to a human agent if the payment fails,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-024-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to a human agent if the payment fails,পেমেন্ট ব্যর্থ হলে কি আপনি আমাকে একজন মানব এজেন্টের কাছে স্থানান্তরে সাহায্য করতে পারেন?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-024-H-C02,[预订规则] 订金线上能不能付？【条件式转人工场景：the user requests an online transfer】,步骤1：先执行关联标准用例“TC-H70-024-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“the user requests an online transfer”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“the user requests an online transfer”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,the user requests an online transfer,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-024-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：the user requests an online transfer,"ব্যবহারকারী অনলাইন ট্রান্সফার চাইলে, সে বিষয়ে কি আপনি আমাকে সাহায্য করতে পারেন?",P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-025-N,[预订规则] 可以预订几台？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Each order may be limited to 1 unit under the campaign rules.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,可以预订几台？,কতটি ইউনিট বুক করা যেতে পারে?,,是,,是,,,,,,,否,,,,,,,,,
