用例ID,用例名称,执行步骤,预期结果,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,执行阶段,是否使用新会话,实际回复内容（英文）,是否存在知识库,知识库是否命中（日志）,知识库命中（人工复核）,日志客户标签,LLM推测预期标签,LLM判定客户标签是否准确,客户标签准确（人工复核）,转人工预期,日志转人工,转人工是否准确,转人工准确（人工复核）,语义是否合理（LLM）,回复是否准确（LLM）,回复准确（人工复核）,服务端真实耗时,接口响应时长,备注
TC-H70-011-N,[预订规则] 预订后下一步做什么？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"After submitting your online pre-order information, please visit your selected IBP / IBO store during August 1–11, 2026 to pay the BDT 5,000 deposit to confirm your pre-order.
Then pay the final balance and pick up the phone during August 12–16, 2026. Paying the final balance with Palmpay can qualify eligible users for an instant BDT 2,000 discount.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预订后下一步做什么？,What to do next after booking?,P2,是,,是,,,,,,,否,,,,,,,,,
TC-H70-011-H-C01,[预订规则] 预订后下一步做什么？【条件式转人工场景：the user wants to change the phone model】,步骤1：先执行关联标准用例“TC-H70-011-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“the user wants to change the phone model”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“the user wants to change the phone model”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,the user wants to change the phone model,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-011-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：the user wants to change the phone model,Could you help me with the user wants to change the phone model?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-011-H-C02,[预订规则] 预订后下一步做什么？【条件式转人工场景：color】,步骤1：先执行关联标准用例“TC-H70-011-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“color”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“color”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,color,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-011-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：color,Could you help me with color?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-012-N,[预订权益] 支持分期付款吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Yes! HOT 70 Pro 5G supports full payment and installment options of 4, 6, 9, and 12 months. Available at selected Infinix stores. Ask our in-store team for details on eligible plans!

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,支持分期付款吗？,Do you support installment payments?,P2,是,,是,,,,,,,否,,,,,,,,,
TC-H70-012-H-C01,[预订权益] 支持分期付款吗？【条件式转人工场景：Transfer to human when the user asks about specific installment plan details】,步骤1：先执行关联标准用例“TC-H70-012-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to human when the user asks about specific installment plan details”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to human when the user asks about specific installment plan details”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to human when the user asks about specific installment plan details,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-012-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to human when the user asks about specific installment plan details,Could you help me with Transfer to human when the user asks about specific installment plan details?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-012-H-C02,[预订权益] 支持分期付款吗？【条件式转人工场景：store eligibility】,步骤1：先执行关联标准用例“TC-H70-012-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“store eligibility”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“store eligibility”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,store eligibility,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-012-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：store eligibility,Could you help me with store eligibility?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-013-N,[提机规则] 提机需要带什么？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"To collect your HOT 70 Pro 5G, please bring:
1️⃣ Your pickup confirmation code (sent via SMS)
2️⃣ A valid government-issued ID

Make sure the name on your booking matches your ID.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,提机需要带什么？,What do I need to bring to pick up the phone?,P2,是,,是,,,,,,,否,,,,,,,,,
TC-H70-014-N,[人工兜底规则] 可以换门店提机吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：观察是否按规则触发人工转接。步骤5：确认未输出超出知识库的确定性结论。,该问题按知识库规则应直接触发转人工；转接前话术应与当前问题相关，不应输出超范围确定性结论。,该问题按规则直接转人工,验证直接转人工策略、转接话术相关性及知识边界控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,可以换门店提机吗？,Can I pick up the device at a different store?,P2,是,,是,,,,,,,是,,,,,,,,,
TC-H70-015-N,[人工兜底规则] 我所在的城市有门店吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：观察是否按规则触发人工转接。步骤5：确认未输出超出知识库的确定性结论。,该问题按知识库规则应直接触发转人工；转接前话术应与当前问题相关，不应输出超范围确定性结论。,该问题按规则直接转人工,验证直接转人工策略、转接话术相关性及知识边界控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我所在的城市有门店吗？,Is there a store in my city?,P2,是,,是,,,,,,,是,,,,,,,,,
TC-H70-016-N,[HOT 70 Pro 商品信息] HOT 70 Pro是正品吗？有保修吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Absolutely! HOT 70 Pro 5G is a 100% genuine Infinix product with:
✅ Full manufacturer warranty
✅ Official after-sales service at Infinix service centers
✅ 3 years OS updates + 5 years security updates

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT 70 Pro是正品吗？有保修吗？,Is the HOT 70 Pro genuine? Does it come with a warranty?,P2,是,,是,,,,,,,否,,,,,,,,,
TC-H70-017-N,[投诉/退货退款] 我要投诉/反馈问题【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：观察是否按规则触发人工转接。步骤5：确认未输出超出知识库的确定性结论。,该问题按知识库规则应直接触发转人工；转接前话术应与当前问题相关，不应输出超范围确定性结论。,该问题按规则直接转人工,验证直接转人工策略、转接话术相关性及知识边界控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我要投诉/反馈问题,I want to make a complaint/feedback about an issue,P2,是,,是,,,,,,,是,,,,,,,,,
TC-H70-018-N,[人工兜底规则] 到店后无法提机【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：观察是否按规则触发人工转接。步骤5：确认未输出超出知识库的确定性结论。,该问题按知识库规则应直接触发转人工；转接前话术应与当前问题相关，不应输出超范围确定性结论。,该问题按规则直接转人工,验证直接转人工策略、转接话术相关性及知识边界控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,到店后无法提机,Unable to pick up the device after arriving at the store,P2,是,,是,,,,,,,是,,,,,,,,,
TC-H70-019-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G 128GB+8GB is priced at BDT 36,999.

Online pre-booking is free. After submitting your information online, please visit your selected Infinix store to pay the BDT 5,000 offline deposit and confirm your pre-order.

Users who purchase through the pre-order campaign, successfully pick up the phone, and pay the final balance with Palmpay can get an instant BDT 2,000 discount.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 5G多少钱？,How much is the HOT70 Pro 5G?,P2,是,,是,,,,,,,否,,,,,,,,,
TC-H70-019-H-C01,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：Transfer to human when store quotations are inconsistent】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to human when store quotations are inconsistent”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to human when store quotations are inconsistent”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to human when store quotations are inconsistent,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to human when store quotations are inconsistent,Could you help me with Transfer to human when store quotations are inconsistent?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-019-H-C02,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：special prices】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“special prices”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“special prices”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,special prices,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：special prices,Could you help me with special prices?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-019-H-C03,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：overlapping discounts】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“overlapping discounts”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“overlapping discounts”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,overlapping discounts,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：overlapping discounts,Could you help me with overlapping discounts?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-019-H-C04,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：price disputes occur】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“price disputes occur”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“price disputes occur”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,price disputes occur,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：price disputes occur,Could you help me with price disputes occur?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-020-N,[预订规则] 订金在哪里付【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"The BDT 5,000 deposit should be paid offline at your selected Infinix store.

Please bring your booking information or confirmation code when you visit the store.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,订金在哪里付,Where to pay the deposit?,P2,是,,是,,,,,,,否,,,,,,,,,
TC-H70-020-H-C01,[预订规则] 订金在哪里付【条件式转人工场景：Transfer to a human agent if the user asks about receipts】,步骤1：先执行关联标准用例“TC-H70-020-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to a human agent if the user asks about receipts”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to a human agent if the user asks about receipts”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to a human agent if the user asks about receipts,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-020-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to a human agent if the user asks about receipts,Could you help me with Transfer to a human agent if the user asks about receipts?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-020-H-C02,[预订规则] 订金在哪里付【条件式转人工场景：invoices】,步骤1：先执行关联标准用例“TC-H70-020-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“invoices”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“invoices”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,invoices,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-020-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：invoices,Could you help me with invoices?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-020-H-C03,[预订规则] 订金在哪里付【条件式转人工场景：if the store cannot collect the payment】,步骤1：先执行关联标准用例“TC-H70-020-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“if the store cannot collect the payment”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“if the store cannot collect the payment”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,if the store cannot collect the payment,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-020-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：if the store cannot collect the payment,Could you help me with if the store cannot collect the payment?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-021-N,[提机规则] 提机时还要付多少钱？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"The total price is BDT 36,999. If you have paid the BDT 5,000 deposit, the remaining balance is BDT 31,999. Eligible users who pay the final balance with Palmpay can get an instant BDT 2,000 discount, so the final payable balance can be BDT 29,999.

Final payment should be confirmed with the selected store.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,提机时还要付多少钱？,How much more do I need to pay when picking up the phone?,,是,,是,,,,,,,否,,,,,,,,,
TC-H70-021-H-C01,[提机规则] 提机时还要付多少钱？【条件式转人工场景：Transfer to human when user has already received other discounts】,步骤1：先执行关联标准用例“TC-H70-021-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to human when user has already received other discounts”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to human when user has already received other discounts”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to human when user has already received other discounts,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-021-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to human when user has already received other discounts,Could you help me with Transfer to human when user has already received other discounts?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-021-H-C02,[提机规则] 提机时还要付多少钱？【条件式转人工场景：store amount is inconsistent】,步骤1：先执行关联标准用例“TC-H70-021-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“store amount is inconsistent”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“store amount is inconsistent”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,store amount is inconsistent,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-021-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：store amount is inconsistent,Could you help me with store amount is inconsistent?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-021-H-C03,[提机规则] 提机时还要付多少钱？【条件式转人工场景：there is a payment dispute】,步骤1：先执行关联标准用例“TC-H70-021-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“there is a payment dispute”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“there is a payment dispute”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,there is a payment dispute,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-021-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：there is a payment dispute,Could you help me with there is a payment dispute?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-022-N,[预订规则] 如果只线上填了信息，算预订成功吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Submitting your information online helps reserve your interest.

Your pre-order is confirmed after you visit the selected Infinix store and pay the BDT 5,000 offline deposit during the pre-order period.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,如果只线上填了信息，算预订成功吗？,"If I only filled in the information online, is the reservation considered successful?",,是,,是,,,,,,,否,,,,,,,,,
TC-H70-022-H-C01,[预订规则] 如果只线上填了信息，算预订成功吗？【条件式转人工场景：Transfer to human when user has submitted but the store cannot find the record】,步骤1：先执行关联标准用例“TC-H70-022-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to human when user has submitted but the store cannot find the record”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to human when user has submitted but the store cannot find the record”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to human when user has submitted but the store cannot find the record,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-022-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to human when user has submitted but the store cannot find the record,Could you help me with Transfer to human when user has submitted but the store cannot find the record?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-022-H-C02,[预订规则] 如果只线上填了信息，算预订成功吗？【条件式转人工场景：no confirmation message received】,步骤1：先执行关联标准用例“TC-H70-022-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“no confirmation message received”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“no confirmation message received”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,no confirmation message received,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-022-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：no confirmation message received,Could you help me with no confirmation message received?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-022-H-C03,[预订规则] 如果只线上填了信息，算预订成功吗？【条件式转人工场景：asking whether the slot can be reserved】,步骤1：先执行关联标准用例“TC-H70-022-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“asking whether the slot can be reserved”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“asking whether the slot can be reserved”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,asking whether the slot can be reserved,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-022-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：asking whether the slot can be reserved,Could you help me with asking whether the slot can be reserved?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-023-N,[预订规则] 线上预订后，多久内要去门店付订金？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Please visit your selected Infinix store during the pre-order period, August 1–11, 2026, to pay the BDT 5,000 offline deposit and confirm your pre-order.

If you do not complete the offline deposit confirmation during the pre-order period, your pre-order may not be secured.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,线上预订后，多久内要去门店付订金？,"After making an online reservation, how long do I have to go to the store to pay the deposit?",,是,,是,,,,,,,否,,,,,,,,,
TC-H70-023-H-C01,[预订规则] 线上预订后，多久内要去门店付订金？【条件式转人工场景：Transfer to human when user asks whether it can be extended】,步骤1：先执行关联标准用例“TC-H70-023-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to human when user asks whether it can be extended”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to human when user asks whether it can be extended”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to human when user asks whether it can be extended,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-023-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to human when user asks whether it can be extended,Could you help me with Transfer to human when user asks whether it can be extended?,P2,否,,是,,,,,,,是,,,,,,,,,
TC-H70-023-H-C02,[预订规则] 线上预订后，多久内要去门店付订金？【条件式转人工场景：whether the store can reserve a slot】,步骤1：先执行关联标准用例“TC-H70-023-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“whether the store can reserve a slot”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“whether the store can reserve a slot”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,whether the store can reserve a slot,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-023-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：whether the store can reserve a slot,Could you help me with whether the store can reserve a slot?,P2,否,,是,,,,,,,是,,,,,,,,,
