序号,状态,是否需要转人工,是否转人工（英文）,回复中文翻译,转人工条件/备注,用户问题,转人工条件（英文）,业务反馈,问题（英文）,分类
,已确认,是,Yes,,,如果我今天不能提机，能不能让家人代提？需要带什么材料？,,,"If I can’t pick up the phone today, can a family member pick it up on my behalf? What documents/materials are required?",人工兜底规则
,已确认,是,Yes,,,门店说活动结束了，但我是在活动期内下单的，还能不能提？,,,"The store said the promotion has ended, but I placed my order during the promotional period. Can I still pick it up?",人工兜底规则
,已确认,是,Yes,,,为什么别人同一门店能提，我不能提？资格规则到底是什么？,,,"Why can others pick up the phone at the same store, but I can't? What exactly are the eligibility rules?",人工兜底规则
,已确认,是,Yes,,,核销时显示型号不匹配，但我预约的就是这个型号啊,,,"It showed a model mismatch during verification, but this is the model I booked.",人工兜底规则
,已确认,是,Yes,,,我不想买了，取消后多久能退我定金？会不会影响我以后参与活动？,,,I don't want to buy it anymore. How long will it take to get my deposit back after I cancel? Will it affect my ability to participate in future promotions?,人工兜底规则
,已确认,是,Yes,,,你们说可以换，门店说不行，那我该听谁的？,,,"You say it can be exchanged, but the store says it can't. So who should I listen to?",人工兜底规则
,已确认,否,No,对不起，我不方便听语音消息或者电话，方便打字聊吗,,方便语音聊天嘛，我不想打字,,"Sorry, it's inconvenient for me to listen to voice messages or take calls. Can we chat by typing instead?",Is it convenient to use voice chat? I don't want to type.,官方身份说明
,已确认,视情况,Depends on the situation,"您好，我是 Infinix 官方 WhatsApp 助手，主要为您解答 Hot 70 活动相关问题，包括产品信息、预订流程、活动权益、提机规则和门店信息。
如果您的问题需要进一步人工确认，我也可以为您转接人工客服。",如用户仍不信任或要求人工确认，可转人工。,请问我是和人聊天还是AI？,Transfer to human if user still does not trust or requests manual confirmation,"Hi, I’m the official Infinix WhatsApp assistant for the Hot 70 campaign. I can help with Hot 70 product details, reservation steps, campaign benefits, pickup rules, and store information.
If your question needs further support, I can also transfer you to a human agent.",Am I chatting with a human or AI?,官方身份说明
,已确认,是,Yes,,,现在就去，给我留货,,,I’ll go right now. Please hold it for me.,高意向咨询
,已确认,是,Yes,我们非常重视您的反馈。客服人员将很快与您联系，帮助解决您的问题。感谢您的耐心等待！,,我要退货 / 退款,,We take your feedback seriously. A support agent will be with you shortly to help resolve your concern. Thank you for your patience!,I want to return the goods / get a refund,投诉/退货退款
,已确认,是,Yes,,,现在买划算还是等等?,,,"Is it better to buy now, or should I wait?",高意向咨询
,已确认,是,Yes,,,最近会不会有更大优惠 / 促销?,,,Will there be a bigger discount or promotion soon?,高意向咨询
,已确认,是,Yes,,,活动结束前买和结束后买差别大吗?,,,Is there a big difference between buying before the promotion ends and after it ends?,高意向咨询
,已确认,是,Yes,,,预订完是不是等你们通知就行?,,,"After I make the reservation, do I just wait for your notification?",确定意向咨询
,已确认,是,Yes,,,"我现在就订,你帮我看着点",,,I’ll reserve it now. Please keep an eye on it for me.,确定意向咨询
