id,input,expected_intent,expected_action,expected_facts,should_handoff,priority,rule_id,source
INT-FAQ-A025,线上预订后，多久内要去门店付订金？,活动规则,reply,如果未在预订期内完成线下订金确认，您的预订名额可,conditional,P0,FAQ-A025,faq
INT-FAQ-A025-P1,when to pay deposit,活动规则,reply,如果未在预订期内完成线下订金确认，您的预订名额可,conditional,P0,FAQ-A025,faq_paraphrase
INT-FAQ-A025-P2,how long after online booking,活动规则,reply,如果未在预订期内完成线下订金确认，您的预订名额可,conditional,P0,FAQ-A025,faq_paraphrase
INT-FAQ-A025-P3,deposit deadline,活动规则,reply,如果未在预订期内完成线下订金确认，您的预订名额可,conditional,P0,FAQ-A025,faq_paraphrase
INT-FAQ-A025-P4,store confirmation deadline,活动规则,reply,如果未在预订期内完成线下订金确认，您的预订名额可,conditional,P0,FAQ-A025,faq_paraphrase
INT-FAQ-A026,订金线上能不能付？,活动规则,reply,"不能。线上预订是免费的，不需要在线支付。|BDT 5,000 订金需要在您选择的 Infi",conditional,P0,FAQ-A026,faq
INT-FAQ-A026-P1,can I pay deposit online,活动规则,reply,"不能。线上预订是免费的，不需要在线支付。|BDT 5,000 订金需要在您选择的 Infi",conditional,P0,FAQ-A026,faq_paraphrase
INT-FAQ-A026-P2,online payment,活动规则,reply,"不能。线上预订是免费的，不需要在线支付。|BDT 5,000 订金需要在您选择的 Infi",conditional,P0,FAQ-A026,faq_paraphrase
INT-FAQ-A026-P3,pay by mobile money,活动规则,reply,"不能。线上预订是免费的，不需要在线支付。|BDT 5,000 订金需要在您选择的 Infi",conditional,P0,FAQ-A026,faq_paraphrase
INT-FAQ-A026-P4,pay deposit on website,活动规则,reply,"不能。线上预订是免费的，不需要在线支付。|BDT 5,000 订金需要在您选择的 Infi",conditional,P0,FAQ-A026,faq_paraphrase
INT-FAQ-A027,可以预订几台？,活动规则,reply,根据活动规则，每个订单通常限预订 1 台。,conditional,P0,FAQ-A027,faq
INT-FAQ-A027-P1,how many units,活动规则,reply,根据活动规则，每个订单通常限预订 1 台。,conditional,P0,FAQ-A027,faq_paraphrase
INT-FAQ-A027-P2,order limit,活动规则,reply,根据活动规则，每个订单通常限预订 1 台。,conditional,P0,FAQ-A027,faq_paraphrase
INT-FAQ-A027-P3,can I book more than one,活动规则,reply,根据活动规则，每个订单通常限预订 1 台。,conditional,P0,FAQ-A027,faq_paraphrase
INT-FAQ-A027-P4,quantity limit,活动规则,reply,根据活动规则，每个订单通常限预订 1 台。,conditional,P0,FAQ-A027,faq_paraphrase
INT-FAQ-A027-P5,bulk order,活动规则,reply,根据活动规则，每个订单通常限预订 1 台。,conditional,P0,FAQ-A027,faq_paraphrase
INT-FAQ-A028,选了某个颜色，门店能保证有吗？,产品信息,reply,颜色是否可选取决于您所选门店的实际库存。|您在线上选择的颜色会作为偏好记录，但最终是否可提,conditional,P0,FAQ-A028,faq
INT-FAQ-A028-P1,can I get selected color,产品信息,reply,颜色是否可选取决于您所选门店的实际库存。|您在线上选择的颜色会作为偏好记录，但最终是否可提,conditional,P0,FAQ-A028,faq_paraphrase
INT-FAQ-A028-P2,color guaranteed,产品信息,reply,颜色是否可选取决于您所选门店的实际库存。|您在线上选择的颜色会作为偏好记录，但最终是否可提,conditional,P0,FAQ-A028,faq_paraphrase
INT-FAQ-A028-P3,stock for color,产品信息,reply,颜色是否可选取决于您所选门店的实际库存。|您在线上选择的颜色会作为偏好记录，但最终是否可提,conditional,P0,FAQ-A028,faq_paraphrase
INT-FAQ-A028-P4,chosen color available,产品信息,reply,颜色是否可选取决于您所选门店的实际库存。|您在线上选择的颜色会作为偏好记录，但最终是否可提,conditional,P0,FAQ-A028,faq_paraphrase
INT-FAQ-A029,到店具体是什么礼品,活动权益,reply,本次预订活动赠品为 Smart Watch，具体|赠品图片仅供参考，实际颜色、型号或设计可能会有所,conditional,P0,FAQ-A029,faq
INT-FAQ-A029-P1,exact gift,活动权益,reply,本次预订活动赠品为 Smart Watch，具体|赠品图片仅供参考，实际颜色、型号或设计可能会有所,conditional,P0,FAQ-A029,faq_paraphrase
INT-FAQ-A029-P2,what free gift,活动权益,reply,本次预订活动赠品为 Smart Watch，具体|赠品图片仅供参考，实际颜色、型号或设计可能会有所,conditional,P0,FAQ-A029,faq_paraphrase
INT-FAQ-A029-P3,Smart Watch model,活动权益,reply,本次预订活动赠品为 Smart Watch，具体|赠品图片仅供参考，实际颜色、型号或设计可能会有所,conditional,P0,FAQ-A029,faq_paraphrase
INT-FAQ-A029-P4,gift color,活动权益,reply,本次预订活动赠品为 Smart Watch，具体|赠品图片仅供参考，实际颜色、型号或设计可能会有所,conditional,P0,FAQ-A029,faq_paraphrase
INT-FAQ-A029-P5,gift design,活动权益,reply,本次预订活动赠品为 Smart Watch，具体|赠品图片仅供参考，实际颜色、型号或设计可能会有所,conditional,P0,FAQ-A029,faq_paraphrase
INT-FAQ-A030,Smart Watch 怎么领取？,活动权益,reply,Smart Watch 赠品将在您完成购机，并在|赠品是否可领取以库存和活动规则为准。,conditional,P0,FAQ-A030,faq
INT-FAQ-A030-P1,how to claim Smart Watch,活动权益,reply,Smart Watch 赠品将在您完成购机，并在|赠品是否可领取以库存和活动规则为准。,conditional,P0,FAQ-A030,faq_paraphrase
INT-FAQ-A030-P2,gift claim,活动权益,reply,Smart Watch 赠品将在您完成购机，并在|赠品是否可领取以库存和活动规则为准。,conditional,P0,FAQ-A030,faq_paraphrase
INT-FAQ-A030-P3,receive gift,活动权益,reply,Smart Watch 赠品将在您完成购机，并在|赠品是否可领取以库存和活动规则为准。,conditional,P0,FAQ-A030,faq_paraphrase
INT-FAQ-A030-P4,when get Smart Watch,活动权益,reply,Smart Watch 赠品将在您完成购机，并在|赠品是否可领取以库存和活动规则为准。,conditional,P0,FAQ-A030,faq_paraphrase
INT-FAQ-A031,为什么要激活才能拿赠品？,活动权益,reply,需要激活，是为了确认该设备已由终端用户购买并实际|赠品仅会在购买的设备成功完成 激活后发放。,conditional,P0,FAQ-A031,faq
INT-FAQ-A031-P1,why activation,活动权益,reply,需要激活，是为了确认该设备已由终端用户购买并实际|赠品仅会在购买的设备成功完成 激活后发放。,conditional,P0,FAQ-A031,faq_paraphrase
INT-FAQ-A031-P2,gift eligibility,活动权益,reply,需要激活，是为了确认该设备已由终端用户购买并实际|赠品仅会在购买的设备成功完成 激活后发放。,conditional,P0,FAQ-A031,faq_paraphrase
INT-FAQ-A031-P3,activation required,活动权益,reply,需要激活，是为了确认该设备已由终端用户购买并实际|赠品仅会在购买的设备成功完成 激活后发放。,conditional,P0,FAQ-A031,faq_paraphrase
INT-FAQ-A032,IBP / IBO 门店是什么意思？,门店相关,reply,IBP/IBO 门店指参与本次活动的 Infin|您的订金确认、提机、库存确认和赠品领取，将由您选,false,P0,FAQ-A032,faq
INT-FAQ-A032-P1,what is IBP,门店相关,reply,IBP/IBO 门店指参与本次活动的 Infin|您的订金确认、提机、库存确认和赠品领取，将由您选,false,P0,FAQ-A032,faq_paraphrase
INT-FAQ-A032-P2,what is IBO,门店相关,reply,IBP/IBO 门店指参与本次活动的 Infin|您的订金确认、提机、库存确认和赠品领取，将由您选,false,P0,FAQ-A032,faq_paraphrase
INT-FAQ-A032-P3,authorized store,门店相关,reply,IBP/IBO 门店指参与本次活动的 Infin|您的订金确认、提机、库存确认和赠品领取，将由您选,false,P0,FAQ-A032,faq_paraphrase
INT-FAQ-A032-P4,participating store,门店相关,reply,IBP/IBO 门店指参与本次活动的 Infin|您的订金确认、提机、库存确认和赠品领取，将由您选,false,P0,FAQ-A032,faq_paraphrase
INT-FAQ-A033,线上抽奖/免单这是什么活动？,活动权益,reply,Infinix HOT70 Pro免单大奖活动：活动期内购买,conditional,P0,FAQ-A033,faq
INT-FAQ-A033-P1,online lucky draw,活动权益,reply,Infinix HOT70 Pro免单大奖活动：活动期内购买,conditional,P0,FAQ-A033,faq_paraphrase
INT-FAQ-A033-P2,free-order campaign,活动权益,reply,Infinix HOT70 Pro免单大奖活动：活动期内购买,conditional,P0,FAQ-A033,faq_paraphrase
INT-FAQ-A033-P3,reimbursement prize,活动权益,reply,Infinix HOT70 Pro免单大奖活动：活动期内购买,conditional,P0,FAQ-A033,faq_paraphrase
INT-FAQ-A033-P4,HOT 70 Pro draw,活动权益,reply,Infinix HOT70 Pro免单大奖活动：活动期内购买,conditional,P0,FAQ-A033,faq_paraphrase
INT-FAQ-A033-P5,campaign rules,活动权益,reply,Infinix HOT70 Pro免单大奖活动：活动期内购买,conditional,P0,FAQ-A033,faq_paraphrase
INT-FAQ-A034,线上免单活动时间是什么时候？,活动权益,reply,活动期为 2026 年 7 月 8 日 0 点至 7 月 1,conditional,P0,FAQ-A034,faq
INT-FAQ-A034-P1,campaign period,活动权益,reply,活动期为 2026 年 7 月 8 日 0 点至 7 月 1,conditional,P0,FAQ-A034,faq_paraphrase
INT-FAQ-A034-P2,activity dates,活动权益,reply,活动期为 2026 年 7 月 8 日 0 点至 7 月 1,conditional,P0,FAQ-A034,faq_paraphrase
INT-FAQ-A034-P3,draw date,活动权益,reply,活动期为 2026 年 7 月 8 日 0 点至 7 月 1,conditional,P0,FAQ-A034,faq_paraphrase
INT-FAQ-A034-P4,July 8 to July 19,活动权益,reply,活动期为 2026 年 7 月 8 日 0 点至 7 月 1,conditional,P0,FAQ-A034,faq_paraphrase
INT-FAQ-A034-P5,July 20 winner announcement,活动权益,reply,活动期为 2026 年 7 月 8 日 0 点至 7 月 1,conditional,P0,FAQ-A034,faq_paraphrase
INT-FAQ-A035,免单是什么意思？是免费送手机吗？,活动权益,reply,免单指退还你购买 HOT70 Pro的实付购机款,conditional,P0,FAQ-A035,faq
INT-FAQ-A035-P1,free order meaning,活动权益,reply,免单指退还你购买 HOT70 Pro的实付购机款,conditional,P0,FAQ-A035,faq_paraphrase
INT-FAQ-A035-P2,full reimbursement,活动权益,reply,免单指退还你购买 HOT70 Pro的实付购机款,conditional,P0,FAQ-A035,faq_paraphrase
INT-FAQ-A035-P3,free phone,活动权益,reply,免单指退还你购买 HOT70 Pro的实付购机款,conditional,P0,FAQ-A035,faq_paraphrase
INT-FAQ-A035-P4,refund after winning,活动权益,reply,免单指退还你购买 HOT70 Pro的实付购机款,conditional,P0,FAQ-A035,faq_paraphrase
INT-FAQ-A035-P5,not free upfront,活动权益,reply,免单指退还你购买 HOT70 Pro的实付购机款,conditional,P0,FAQ-A035,faq_paraphrase
INT-FAQ-A036,一共抽几个名额？,活动权益,reply,大奖一名,conditional,P0,FAQ-A036,faq
INT-FAQ-A036-P1,number of winners,活动权益,reply,大奖一名,conditional,P0,FAQ-A036,faq_paraphrase
INT-FAQ-A036-P2,prize quota,活动权益,reply,大奖一名,conditional,P0,FAQ-A036,faq_paraphrase
INT-FAQ-A036-P3,grand prize,活动权益,reply,大奖一名,conditional,P0,FAQ-A036,faq_paraphrase
INT-FAQ-A036-P4,how many slots,活动权益,reply,大奖一名,conditional,P0,FAQ-A036,faq_paraphrase
INT-FAQ-A036-P5,one winner,活动权益,reply,大奖一名,conditional,P0,FAQ-A036,faq_paraphrase
INT-FAQ-A037,怎样才有资格参加抽奖？,活动权益,reply,需同时满足：① 活动期内完成 HOT70 Pro 线上预订；,conditional,P0,FAQ-A037,faq
INT-FAQ-A037-P1,draw eligibility,活动权益,reply,需同时满足：① 活动期内完成 HOT70 Pro 线上预订；,conditional,P0,FAQ-A037,faq_paraphrase
INT-FAQ-A037-P2,how to qualify,活动权益,reply,需同时满足：① 活动期内完成 HOT70 Pro 线上预订；,conditional,P0,FAQ-A037,faq_paraphrase
INT-FAQ-A037-P3,online pre-order,活动权益,reply,需同时满足：① 活动期内完成 HOT70 Pro 线上预订；,conditional,P0,FAQ-A037,faq_paraphrase
INT-FAQ-A037-P4,store pickup,活动权益,reply,需同时满足：① 活动期内完成 HOT70 Pro 线上预订；,conditional,P0,FAQ-A037,faq_paraphrase
INT-FAQ-A037-P5,WhatsApp support,活动权益,reply,需同时满足：① 活动期内完成 HOT70 Pro 线上预订；,conditional,P0,FAQ-A037,faq_paraphrase
INT-FAQ-A037-P6,specified model,活动权益,reply,需同时满足：① 活动期内完成 HOT70 Pro 线上预订；,conditional,P0,FAQ-A037,faq_paraphrase
INT-FAQ-A038,只加了 WhatsApp 能参加抽奖吗？,活动权益,reply,不能。加 WhatsApp 只是第一步，还需购买,conditional,P0,FAQ-A038,faq
INT-FAQ-A038-P1,WhatsApp only,活动权益,reply,不能。加 WhatsApp 只是第一步，还需购买,conditional,P0,FAQ-A038,faq_paraphrase
INT-FAQ-A038-P2,can I join by adding WhatsApp,活动权益,reply,不能。加 WhatsApp 只是第一步，还需购买,conditional,P0,FAQ-A038,faq_paraphrase
INT-FAQ-A038-P3,purchase required,活动权益,reply,不能。加 WhatsApp 只是第一步，还需购买,conditional,P0,FAQ-A038,faq_paraphrase
INT-FAQ-A038-P4,pickup required,活动权益,reply,不能。加 WhatsApp 只是第一步，还需购买,conditional,P0,FAQ-A038,faq_paraphrase
INT-FAQ-A039,只预订没提机能参加吗？,活动权益,reply,不能。必须完成到店提机并回传凭证，才正式获得抽奖,conditional,P0,FAQ-A039,faq
INT-FAQ-A039-P1,pre-order only,活动权益,reply,不能。必须完成到店提机并回传凭证，才正式获得抽奖,conditional,P0,FAQ-A039,faq_paraphrase
INT-FAQ-A039-P2,no pickup,活动权益,reply,不能。必须完成到店提机并回传凭证，才正式获得抽奖,conditional,P0,FAQ-A039,faq_paraphrase
INT-FAQ-A039-P3,draw eligibility,活动权益,reply,不能。必须完成到店提机并回传凭证，才正式获得抽奖,conditional,P0,FAQ-A039,faq_paraphrase
INT-FAQ-A039-P4,must collect phone,活动权益,reply,不能。必须完成到店提机并回传凭证，才正式获得抽奖,conditional,P0,FAQ-A039,faq_paraphrase
INT-FAQ-A039-P5,proof required,活动权益,reply,不能。必须完成到店提机并回传凭证，才正式获得抽奖,conditional,P0,FAQ-A039,faq_paraphrase
INT-FAQ-A040,买别的机型能参加吗？,活动权益,reply,不能，本活动仅限指定机型 Infinix HOT,conditional,P0,FAQ-A040,faq
INT-FAQ-A040-P1,other model eligibility,活动权益,reply,不能，本活动仅限指定机型 Infinix HOT,conditional,P0,FAQ-A040,faq_paraphrase
INT-FAQ-A040-P2,specified model only,活动权益,reply,不能，本活动仅限指定机型 Infinix HOT,conditional,P0,FAQ-A040,faq_paraphrase
INT-FAQ-A040-P3,HOT 70 Pro only,活动权益,reply,不能，本活动仅限指定机型 Infinix HOT,conditional,P0,FAQ-A040,faq_paraphrase
INT-FAQ-A040-P4,excluded models,活动权益,reply,不能，本活动仅限指定机型 Infinix HOT,conditional,P0,FAQ-A040,faq_paraphrase
INT-FAQ-A041,活动期之外买的算吗？,活动权益,reply,不算。须在 7 月 8 日至 7 月 19 日活,conditional,P0,FAQ-A041,faq
INT-FAQ-A041-P1,outside campaign period,活动权益,reply,不算。须在 7 月 8 日至 7 月 19 日活,conditional,P0,FAQ-A041,faq_paraphrase
INT-FAQ-A041-P2,purchase date,活动权益,reply,不算。须在 7 月 8 日至 7 月 19 日活,conditional,P0,FAQ-A041,faq_paraphrase
INT-FAQ-A041-P3,valid period,活动权益,reply,不算。须在 7 月 8 日至 7 月 19 日活,conditional,P0,FAQ-A041,faq_paraphrase
INT-FAQ-A041-P4,July 8 to July 19,活动权益,reply,不算。须在 7 月 8 日至 7 月 19 日活,conditional,P0,FAQ-A041,faq_paraphrase
INT-FAQ-A041-P5,eligible purchase,活动权益,reply,不算。须在 7 月 8 日至 7 月 19 日活,conditional,P0,FAQ-A041,faq_paraphrase
INT-FAQ-A042,发预定订单截图就能抽奖了吗？,活动权益,reply,发订单截图只是先“锁定”抽奖资格，还需完成到店提,conditional,P0,FAQ-A042,faq
INT-FAQ-A042-P1,order screenshot,活动权益,reply,发订单截图只是先“锁定”抽奖资格，还需完成到店提,conditional,P0,FAQ-A042,faq_paraphrase
INT-FAQ-A042-P2,pre-order screenshot,活动权益,reply,发订单截图只是先“锁定”抽奖资格，还需完成到店提,conditional,P0,FAQ-A042,faq_paraphrase
INT-FAQ-A042-P3,lock eligibility,活动权益,reply,发订单截图只是先“锁定”抽奖资格，还需完成到店提,conditional,P0,FAQ-A042,faq_paraphrase
INT-FAQ-A042-P4,draw entry,活动权益,reply,发订单截图只是先“锁定”抽奖资格，还需完成到店提,conditional,P0,FAQ-A042,faq_paraphrase
INT-FAQ-A042-P5,pickup still required,活动权益,reply,发订单截图只是先“锁定”抽奖资格，还需完成到店提,conditional,P0,FAQ-A042,faq_paraphrase
INT-FAQ-A043,怎么正式获得抽奖名额？,活动权益,reply,到店提机后，把你和新机的露脸合照发给客服，即可进,conditional,P0,FAQ-A043,faq
INT-FAQ-A043-P1,official draw entry,活动权益,reply,到店提机后，把你和新机的露脸合照发给客服，即可进,conditional,P0,FAQ-A043,faq_paraphrase
INT-FAQ-A043-P2,how to enter draw pool,活动权益,reply,到店提机后，把你和新机的露脸合照发给客服，即可进,conditional,P0,FAQ-A043,faq_paraphrase
INT-FAQ-A043-P3,pickup proof,活动权益,reply,到店提机后，把你和新机的露脸合照发给客服，即可进,conditional,P0,FAQ-A043,faq_paraphrase
INT-FAQ-A043-P4,selfie with phone,活动权益,reply,到店提机后，把你和新机的露脸合照发给客服，即可进,conditional,P0,FAQ-A043,faq_paraphrase
INT-FAQ-A043-P5,submit proof,活动权益,reply,到店提机后，把你和新机的露脸合照发给客服，即可进,conditional,P0,FAQ-A043,faq_paraphrase
INT-FAQ-A044,为什么要发露脸照片？不发可以吗？,活动权益,reply,用于核验你确实本人完成了提机，保证活动公平。可以,conditional,P0,FAQ-A044,faq
INT-FAQ-A044-P1,face photo,活动权益,reply,用于核验你确实本人完成了提机，保证活动公平。可以,conditional,P0,FAQ-A044,faq_paraphrase
INT-FAQ-A044-P2,selfie required,活动权益,reply,用于核验你确实本人完成了提机，保证活动公平。可以,conditional,P0,FAQ-A044,faq_paraphrase
INT-FAQ-A044-P3,privacy,活动权益,reply,用于核验你确实本人完成了提机，保证活动公平。可以,conditional,P0,FAQ-A044,faq_paraphrase
INT-FAQ-A044-P4,pickup verification,活动权益,reply,用于核验你确实本人完成了提机，保证活动公平。可以,conditional,P0,FAQ-A044,faq_paraphrase
INT-FAQ-A044-P5,alternative proof,活动权益,reply,用于核验你确实本人完成了提机，保证活动公平。可以,conditional,P0,FAQ-A044,faq_paraphrase
INT-FAQ-A044-P6,phone number,活动权益,reply,用于核验你确实本人完成了提机，保证活动公平。可以,conditional,P0,FAQ-A044,faq_paraphrase
INT-FAQ-A045,一个人能有几个抽奖名额？,活动权益,reply,每成功购买并提机一台 HOT70 Pro、完成回,conditional,P0,FAQ-A045,faq
INT-FAQ-A045-P1,number of draw entries,活动权益,reply,每成功购买并提机一台 HOT70 Pro、完成回,conditional,P0,FAQ-A045,faq_paraphrase
INT-FAQ-A045-P2,one entry per phone,活动权益,reply,每成功购买并提机一台 HOT70 Pro、完成回,conditional,P0,FAQ-A045,faq_paraphrase
INT-FAQ-A045-P3,multiple phones,活动权益,reply,每成功购买并提机一台 HOT70 Pro、完成回,conditional,P0,FAQ-A045,faq_paraphrase
INT-FAQ-A045-P4,duplicate order,活动权益,reply,每成功购买并提机一台 HOT70 Pro、完成回,conditional,P0,FAQ-A045,faq_paraphrase
INT-FAQ-A046,怎么预订 HOT70 Pro？,活动权益,reply,可以点击链接下单：https://hk-paas.trans,conditional,P0,FAQ-A046,faq
INT-FAQ-A046-P1,how to pre-order HOT 70 Pro,活动权益,reply,可以点击链接下单：https://hk-paas.trans,conditional,P0,FAQ-A046,faq_paraphrase
INT-FAQ-A046-P2,booking link,活动权益,reply,可以点击链接下单：https://hk-paas.trans,conditional,P0,FAQ-A046,faq_paraphrase
INT-FAQ-A046-P3,place order,活动权益,reply,可以点击链接下单：https://hk-paas.trans,conditional,P0,FAQ-A046,faq_paraphrase
INT-FAQ-A046-P4,send screenshot,活动权益,reply,可以点击链接下单：https://hk-paas.trans,conditional,P0,FAQ-A046,faq_paraphrase
INT-FAQ-A046-P5,lock draw entry,活动权益,reply,可以点击链接下单：https://hk-paas.trans,conditional,P0,FAQ-A046,faq_paraphrase
INT-FAQ-A047,预订后多久能提机？,活动权益,reply,到货后客服会第一时间通知你到店提机。,conditional,P0,FAQ-A047,faq
INT-FAQ-A047-P1,pickup after pre-order,活动权益,reply,到货后客服会第一时间通知你到店提机。,conditional,P0,FAQ-A047,faq_paraphrase
INT-FAQ-A047-P2,when can collect,活动权益,reply,到货后客服会第一时间通知你到店提机。,conditional,P0,FAQ-A047,faq_paraphrase
INT-FAQ-A047-P3,arrival notice,活动权益,reply,到货后客服会第一时间通知你到店提机。,conditional,P0,FAQ-A047,faq_paraphrase
INT-FAQ-A047-P4,support notification,活动权益,reply,到货后客服会第一时间通知你到店提机。,conditional,P0,FAQ-A047,faq_paraphrase
INT-FAQ-A047-P5,store pickup,活动权益,reply,到货后客服会第一时间通知你到店提机。,conditional,P0,FAQ-A047,faq_paraphrase
INT-FAQ-A048,订单截图在哪里找？,活动权益,reply,在你提交预订的确认页面/信息里可找到，发给客服即,conditional,P0,FAQ-A048,faq
INT-FAQ-A048-P1,where to find order screenshot,活动权益,reply,在你提交预订的确认页面/信息里可找到，发给客服即,conditional,P0,FAQ-A048,faq_paraphrase
INT-FAQ-A048-P2,confirmation page,活动权益,reply,在你提交预订的确认页面/信息里可找到，发给客服即,conditional,P0,FAQ-A048,faq_paraphrase
INT-FAQ-A048-P3,booking confirmation,活动权益,reply,在你提交预订的确认页面/信息里可找到，发给客服即,conditional,P0,FAQ-A048,faq_paraphrase
INT-FAQ-A048-P4,send to support,活动权益,reply,在你提交预订的确认页面/信息里可找到，发给客服即,conditional,P0,FAQ-A048,faq_paraphrase
INT-FAQ-A049,可以预约到店时间吗？,活动权益,reply,可以，把方便的时间告诉客服，帮你留货、减少排队。,conditional,P0,FAQ-A049,faq
INT-FAQ-A049-P1,store appointment,活动权益,reply,可以，把方便的时间告诉客服，帮你留货、减少排队。,conditional,P0,FAQ-A049,faq_paraphrase
INT-FAQ-A049-P2,reserve pickup time,活动权益,reply,可以，把方便的时间告诉客服，帮你留货、减少排队。,conditional,P0,FAQ-A049,faq_paraphrase
INT-FAQ-A049-P3,avoid queue,活动权益,reply,可以，把方便的时间告诉客服，帮你留货、减少排队。,conditional,P0,FAQ-A049,faq_paraphrase
INT-FAQ-A049-P4,reserve stock,活动权益,reply,可以，把方便的时间告诉客服，帮你留货、减少排队。,conditional,P0,FAQ-A049,faq_paraphrase
INT-FAQ-A049-P5,preferred visit time,活动权益,reply,可以，把方便的时间告诉客服，帮你留货、减少排队。,conditional,P0,FAQ-A049,faq_paraphrase
INT-FAQ-A050,到店立减券是什么？怎么用？,活动权益,reply,是一张到店购机抵扣券（券码形式）；到店时把券码报,conditional,P0,FAQ-A050,faq
INT-FAQ-A050-P1,in-store coupon,活动权益,reply,是一张到店购机抵扣券（券码形式）；到店时把券码报,conditional,P0,FAQ-A050,faq_paraphrase
INT-FAQ-A050-P2,instant discount coupon,活动权益,reply,是一张到店购机抵扣券（券码形式）；到店时把券码报,conditional,P0,FAQ-A050,faq_paraphrase
INT-FAQ-A050-P3,coupon code,活动权益,reply,是一张到店购机抵扣券（券码形式）；到店时把券码报,conditional,P0,FAQ-A050,faq_paraphrase
INT-FAQ-A050-P4,how to use coupon,活动权益,reply,是一张到店购机抵扣券（券码形式）；到店时把券码报,conditional,P0,FAQ-A050,faq_paraphrase
INT-FAQ-A050-P5,store discount,活动权益,reply,是一张到店购机抵扣券（券码形式）；到店时把券码报,conditional,P0,FAQ-A050,faq_paraphrase
INT-FAQ-A051,券码可以转给别人吗？,活动权益,reply,不可以，券码一码一用、绑定本人，过期作废。,conditional,P0,FAQ-A051,faq
INT-FAQ-A051-P1,transfer coupon,活动权益,reply,不可以，券码一码一用、绑定本人，过期作废。,conditional,P0,FAQ-A051,faq_paraphrase
INT-FAQ-A051-P2,share coupon,活动权益,reply,不可以，券码一码一用、绑定本人，过期作废。,conditional,P0,FAQ-A051,faq_paraphrase
INT-FAQ-A051-P3,one code one use,活动权益,reply,不可以，券码一码一用、绑定本人，过期作废。,conditional,P0,FAQ-A051,faq_paraphrase
INT-FAQ-A051-P4,personal coupon,活动权益,reply,不可以，券码一码一用、绑定本人，过期作废。,conditional,P0,FAQ-A051,faq_paraphrase
INT-FAQ-A051-P5,expired coupon,活动权益,reply,不可以，券码一码一用、绑定本人，过期作废。,conditional,P0,FAQ-A051,faq_paraphrase
INT-FAQ-A052,邀请好友有什么好处？,活动权益,reply,把专属链接发给朋友，朋友买 HOT70 Pro ,conditional,P0,FAQ-A052,faq
INT-FAQ-A052-P1,invite friends,活动权益,reply,把专属链接发给朋友，朋友买 HOT70 Pro ,conditional,P0,FAQ-A052,faq_paraphrase
INT-FAQ-A052-P2,referral benefit,活动权益,reply,把专属链接发给朋友，朋友买 HOT70 Pro ,conditional,P0,FAQ-A052,faq_paraphrase
INT-FAQ-A052-P3,referral link,活动权益,reply,把专属链接发给朋友，朋友买 HOT70 Pro ,conditional,P0,FAQ-A052,faq_paraphrase
INT-FAQ-A052-P4,friend purchase,活动权益,reply,把专属链接发给朋友，朋友买 HOT70 Pro ,conditional,P0,FAQ-A052,faq_paraphrase
INT-FAQ-A052-P5,both get coupon,活动权益,reply,把专属链接发给朋友，朋友买 HOT70 Pro ,conditional,P0,FAQ-A052,faq_paraphrase
INT-FAQ-A053,什么时候开奖？,活动权益,reply,2026 年 7 月 20 日开奖。,conditional,P0,FAQ-A053,faq
INT-FAQ-A053-P1,draw date,活动权益,reply,2026 年 7 月 20 日开奖。,conditional,P0,FAQ-A053,faq_paraphrase
INT-FAQ-A053-P2,winner announcement,活动权益,reply,2026 年 7 月 20 日开奖。,conditional,P0,FAQ-A053,faq_paraphrase
INT-FAQ-A053-P3,July 20,活动权益,reply,2026 年 7 月 20 日开奖。,conditional,P0,FAQ-A053,faq_paraphrase
INT-FAQ-A053-P4,when results,活动权益,reply,2026 年 7 月 20 日开奖。,conditional,P0,FAQ-A053,faq_paraphrase
INT-FAQ-A053-P5,lottery date,活动权益,reply,2026 年 7 月 20 日开奖。,conditional,P0,FAQ-A053,faq_paraphrase
INT-FAQ-A054,怎么开奖？公平吗？,活动权益,reply,主办方在后台从所有合格名额中随机抽取 1 名，全,conditional,P0,FAQ-A054,faq
INT-FAQ-A054-P1,how draw works,活动权益,reply,主办方在后台从所有合格名额中随机抽取 1 名，全,conditional,P0,FAQ-A054,faq_paraphrase
INT-FAQ-A054-P2,fair draw,活动权益,reply,主办方在后台从所有合格名额中随机抽取 1 名，全,conditional,P0,FAQ-A054,faq_paraphrase
INT-FAQ-A054-P3,random selection,活动权益,reply,主办方在后台从所有合格名额中随机抽取 1 名，全,conditional,P0,FAQ-A054,faq_paraphrase
INT-FAQ-A054-P4,public draw,活动权益,reply,主办方在后台从所有合格名额中随机抽取 1 名，全,conditional,P0,FAQ-A054,faq_paraphrase
INT-FAQ-A054-P5,screen recording,活动权益,reply,主办方在后台从所有合格名额中随机抽取 1 名，全,conditional,P0,FAQ-A054,faq_paraphrase
INT-FAQ-A054-P6,announcement,活动权益,reply,主办方在后台从所有合格名额中随机抽取 1 名，全,conditional,P0,FAQ-A054,faq_paraphrase
INT-FAQ-A055,中奖后怎么领奖？,活动权益,reply,收到通知后在规定时间内回复确认，并配合核验身份与,conditional,P0,FAQ-A055,faq
INT-FAQ-A055-P1,claim prize,活动权益,reply,收到通知后在规定时间内回复确认，并配合核验身份与,conditional,P0,FAQ-A055,faq_paraphrase
INT-FAQ-A055-P2,winner confirmation,活动权益,reply,收到通知后在规定时间内回复确认，并配合核验身份与,conditional,P0,FAQ-A055,faq_paraphrase
